País de residencia,Total Nacional,Comunidades y Ciudades Autónomas,Total
220 Guinea Ecuatorial,TOTAL,Castilla-La Mancha,53
220 Guinea Ecuatorial,TOTAL,Cataluña,179
220 Guinea Ecuatorial,TOTAL,Comunitat Valenciana,209
220 Guinea Ecuatorial,TOTAL,Extremadura,16
220 Guinea Ecuatorial,TOTAL,Galicia,45
220 Guinea Ecuatorial,TOTAL,Madrid,
220 Guinea Ecuatorial,TOTAL,Murcia,
220 Guinea Ecuatorial,TOTAL,Navarra,
220 Guinea Ecuatorial,TOTAL,País Vasco,44
220 Guinea Ecuatorial,TOTAL,Rioja,
220 Guinea Ecuatorial,TOTAL,Ciudad autónoma de Ceuta,1
220 Guinea Ecuatorial,TOTAL,Ciudad autónoma de Melilla,3
219 Guinea-Bissau,TOTAL,,56
219 Guinea-Bissau,TOTAL,Andalucía,4
219 Guinea-Bissau,TOTAL,Aragón,2
219 Guinea-Bissau,TOTAL,Asturias,
219 Guinea-Bissau,TOTAL,Balears,
219 Guinea-Bissau,TOTAL,Canarias,13
219 Guinea-Bissau,TOTAL,Cantabria,..
219 Guinea-Bissau,TOTAL,Castilla y León,3
219 Guinea-Bissau,TOTAL,Castilla-La Mancha,..
219 Guinea-Bissau,TOTAL,Cataluña,6
219 Guinea-Bissau,TOTAL,Comunitat Valenciana,4
219 Guinea-Bissau,TOTAL,Extremadura,1
219 Guinea-Bissau,TOTAL,Galicia,2
219 Guinea-Bissau,TOTAL,Madrid,
219 Guinea-Bissau,TOTAL,Murcia,
219 Guinea-Bissau,TOTAL,Navarra,
219 Guinea-Bissau,TOTAL,País Vasco,6
219 Guinea-Bissau,TOTAL,Rioja,
219 Guinea-Bissau,TOTAL,Ciudad autónoma de Ceuta,..
219 Guinea-Bissau,TOTAL,Ciudad autónoma de Melilla,..
221 Kenia,TOTAL,,252
221 Kenia,TOTAL,Andalucía,25
221 Kenia,TOTAL,Aragón,7
221 Kenia,TOTAL,Asturias,
221 Kenia,TOTAL,Balears,
221 Kenia,TOTAL,Canarias,3
221 Kenia,TOTAL,Cantabria,3
221 Kenia,TOTAL,Castilla y León,13
221 Kenia,TOTAL,Castilla-La Mancha,1
221 Kenia,TOTAL,Cataluña,43
221 Kenia,TOTAL,Comunitat Valenciana,16
221 Kenia,TOTAL,Extremadura,4
221 Kenia,TOTAL,Galicia,9
221 Kenia,TOTAL,Madrid,
221 Kenia,TOTAL,Murcia,
221 Kenia,TOTAL,Navarra,
221 Kenia,TOTAL,País Vasco,11
221 Kenia,TOTAL,Rioja,
221 Kenia,TOTAL,Ciudad autónoma de Ceuta,1
221 Kenia,TOTAL,Ciudad autónoma de Melilla,..
222 Lesotho,TOTAL,,..
222 Lesotho,TOTAL,Andalucía,..
222 Lesotho,TOTAL,Aragón,..
222 Lesotho,TOTAL,Asturias,
222 Lesotho,TOTAL,Balears,
222 Lesotho,TOTAL,Canarias,..
222 Lesotho,TOTAL,Cantabria,..
222 Lesotho,TOTAL,Castilla y León,..
222 Lesotho,TOTAL,Castilla-La Mancha,..
222 Lesotho,TOTAL,Cataluña,..
222 Lesotho,TOTAL,Comunitat Valenciana,..
222 Lesotho,TOTAL,Extremadura,..
222 Lesotho,TOTAL,Galicia,..
222 Lesotho,TOTAL,Madrid,
222 Lesotho,TOTAL,Murcia,
222 Lesotho,TOTAL,Navarra,
222 Lesotho,TOTAL,País Vasco,..
222 Lesotho,TOTAL,Rioja,
222 Lesotho,TOTAL,Ciudad autónoma de Ceuta,..
222 Lesotho,TOTAL,Ciudad autónoma de Melilla,..
223 Liberia,TOTAL,,11
223 Liberia,TOTAL,Andalucía,1
223 Liberia,TOTAL,Aragón,..
223 Liberia,TOTAL,Asturias,
223 Liberia,TOTAL,Balears,
223 Liberia,TOTAL,Canarias,1
223 Liberia,TOTAL,Cantabria,..
223 Liberia,TOTAL,Castilla y León,1
223 Liberia,TOTAL,Castilla-La Mancha,..
223 Liberia,TOTAL,Cataluña,2
223 Liberia,TOTAL,Comunitat Valenciana,..
223 Liberia,TOTAL,Extremadura,1
223 Liberia,TOTAL,Galicia,..
223 Liberia,TOTAL,Madrid,
223 Liberia,TOTAL,Murcia,
223 Liberia,TOTAL,Navarra,
223 Liberia,TOTAL,País Vasco,1
223 Liberia,TOTAL,Rioja,
223 Liberia,TOTAL,Ciudad autónoma de Ceuta,..
223 Liberia,TOTAL,Ciudad autónoma de Melilla,..
224 Libia,TOTAL,,63
224 Libia,TOTAL,Andalucía,1
224 Libia,TOTAL,Aragón,1
224 Libia,TOTAL,Asturias,
224 Libia,TOTAL,Balears,
224 Libia,TOTAL,Canarias,4
224 Libia,TOTAL,Cantabria,2
224 Libia,TOTAL,Castilla y León,4
224 Libia,TOTAL,Castilla-La Mancha,1
224 Libia,TOTAL,Cataluña,13
224 Libia,TOTAL,Comunitat Valenciana,4
224 Libia,TOTAL,Extremadura,..
224 Libia,TOTAL,Galicia,3
224 Libia,TOTAL,Madrid,
224 Libia,TOTAL,Murcia,
224 Libia,TOTAL,Navarra,
224 Libia,TOTAL,País Vasco,2
224 Libia,TOTAL,Rioja,
224 Libia,TOTAL,Ciudad autónoma de Ceuta,..
224 Libia,TOTAL,Ciudad autónoma de Melilla,..
225 Madagascar,TOTAL,,35
225 Madagascar,TOTAL,Andalucía,6
225 Madagascar,TOTAL,Aragón,1
225 Madagascar,TOTAL,Asturias,
225 Madagascar,TOTAL,Balears,
225 Madagascar,TOTAL,Canarias,..
225 Madagascar,TOTAL,Cantabria,1
225 Madagascar,TOTAL,Castilla y León,6
225 Madagascar,TOTAL,Castilla-La Mancha,1
225 Madagascar,TOTAL,Cataluña,4
225 Madagascar,TOTAL,Comunitat Valenciana,3
225 Madagascar,TOTAL,Extremadura,1
225 Madagascar,TOTAL,Galicia,1
225 Madagascar,TOTAL,Madrid,
225 Madagascar,TOTAL,Murcia,
225 Madagascar,TOTAL,Navarra,
225 Madagascar,TOTAL,País Vasco,5
225 Madagascar,TOTAL,Rioja,
225 Madagascar,TOTAL,Ciudad autónoma de Ceuta,..
225 Madagascar,TOTAL,Ciudad autónoma de Melilla,..
226 Malawi,TOTAL,,16
226 Malawi,TOTAL,Andalucía,..
226 Malawi,TOTAL,Aragón,1
226 Malawi,TOTAL,Asturias,
226 Malawi,TOTAL,Balears,
226 Malawi,TOTAL,Canarias,1
226 Malawi,TOTAL,Cantabria,1
226 Malawi,TOTAL,Castilla y León,1
226 Malawi,TOTAL,Castilla-La Mancha,..
226 Malawi,TOTAL,Cataluña,3
226 Malawi,TOTAL,Comunitat Valenciana,1
226 Malawi,TOTAL,Extremadura,..
226 Malawi,TOTAL,Galicia,..
226 Malawi,TOTAL,Madrid,
226 Malawi,TOTAL,Murcia,
226 Malawi,TOTAL,Navarra,
226 Malawi,TOTAL,País Vasco,2
226 Malawi,TOTAL,Rioja,
226 Malawi,TOTAL,Ciudad autónoma de Ceuta,..
226 Malawi,TOTAL,Ciudad autónoma de Melilla,..
227 Mali,TOTAL,,99
227 Mali,TOTAL,Andalucía,8
227 Mali,TOTAL,Aragón,3
227 Mali,TOTAL,Asturias,
227 Mali,TOTAL,Balears,
227 Mali,TOTAL,Canarias,3
227 Mali,TOTAL,Cantabria,1
227 Mali,TOTAL,Castilla y León,6
227 Mali,TOTAL,Castilla-La Mancha,2
227 Mali,TOTAL,Cataluña,20
227 Mali,TOTAL,Comunitat Valenciana,5
227 Mali,TOTAL,Extremadura,3
227 Mali,TOTAL,Galicia,1
227 Mali,TOTAL,Madrid,
227 Mali,TOTAL,Murcia,
227 Mali,TOTAL,Navarra,
227 Mali,TOTAL,País Vasco,8
227 Mali,TOTAL,Rioja,
227 Mali,TOTAL,Ciudad autónoma de Ceuta,..
227 Mali,TOTAL,Ciudad autónoma de Melilla,1
228 Marruecos,TOTAL,,5.468
228 Marruecos,TOTAL,Andalucía,2.132
228 Marruecos,TOTAL,Aragón,68
228 Marruecos,TOTAL,Asturias,
228 Marruecos,TOTAL,Balears,
228 Marruecos,TOTAL,Canarias,208
228 Marruecos,TOTAL,Cantabria,21
228 Marruecos,TOTAL,Castilla y León,112
228 Marruecos,TOTAL,Castilla-La Mancha,77
228 Marruecos,TOTAL,Cataluña,525
228 Marruecos,TOTAL,Comunitat Valenciana,344
228 Marruecos,TOTAL,Extremadura,49
228 Marruecos,TOTAL,Galicia,104
228 Marruecos,TOTAL,Madrid,
228 Marruecos,TOTAL,Murcia,
228 Marruecos,TOTAL,Navarra,
228 Marruecos,TOTAL,País Vasco,84
228 Marruecos,TOTAL,Rioja,
228 Marruecos,TOTAL,Ciudad autónoma de Ceuta,440
228 Marruecos,TOTAL,Ciudad autónoma de Melilla,171
229 Mauricio,TOTAL,,23
229 Mauricio,TOTAL,Andalucía,1
229 Mauricio,TOTAL,Aragón,..
229 Mauricio,TOTAL,Asturias,
229 Mauricio,TOTAL,Balears,
229 Mauricio,TOTAL,Canarias,..
229 Mauricio,TOTAL,Cantabria,..
229 Mauricio,TOTAL,Castilla y León,..
229 Mauricio,TOTAL,Castilla-La Mancha,1
229 Mauricio,TOTAL,Cataluña,6
229 Mauricio,TOTAL,Comunitat Valenciana,1
229 Mauricio,TOTAL,Extremadura,..
229 Mauricio,TOTAL,Galicia,5
229 Mauricio,TOTAL,Madrid,
229 Mauricio,TOTAL,Murcia,
229 Mauricio,TOTAL,Navarra,
229 Mauricio,TOTAL,País Vasco,2
229 Mauricio,TOTAL,Rioja,
229 Mauricio,TOTAL,Ciudad autónoma de Ceuta,..
229 Mauricio,TOTAL,Ciudad autónoma de Melilla,..
230 Mauritania,TOTAL,,216
230 Mauritania,TOTAL,Andalucía,15
230 Mauritania,TOTAL,Aragón,6
230 Mauritania,TOTAL,Asturias,
230 Mauritania,TOTAL,Balears,
230 Mauritania,TOTAL,Canarias,74
230 Mauritania,TOTAL,Cantabria,..
230 Mauritania,TOTAL,Castilla y León,5
230 Mauritania,TOTAL,Castilla-La Mancha,1
230 Mauritania,TOTAL,Cataluña,46
230 Mauritania,TOTAL,Comunitat Valenciana,11
230 Mauritania,TOTAL,Extremadura,4
230 Mauritania,TOTAL,Galicia,7
230 Mauritania,TOTAL,Madrid,
230 Mauritania,TOTAL,Murcia,
230 Mauritania,TOTAL,Navarra,
230 Mauritania,TOTAL,País Vasco,7
230 Mauritania,TOTAL,Rioja,
230 Mauritania,TOTAL,Ciudad autónoma de Ceuta,..
230 Mauritania,TOTAL,Ciudad autónoma de Melilla,..
231 Mozambique,TOTAL,,191
231 Mozambique,TOTAL,Andalucía,15
231 Mozambique,TOTAL,Aragón,2
231 Mozambique,TOTAL,Asturias,
231 Mozambique,TOTAL,Balears,
231 Mozambique,TOTAL,Canarias,3
231 Mozambique,TOTAL,Cantabria,2
231 Mozambique,TOTAL,Castilla y León,12
231 Mozambique,TOTAL,Castilla-La Mancha,2
231 Mozambique,TOTAL,Cataluña,28
231 Mozambique,TOTAL,Comunitat Valenciana,12
231 Mozambique,TOTAL,Extremadura,4
231 Mozambique,TOTAL,Galicia,36
231 Mozambique,TOTAL,Madrid,
231 Mozambique,TOTAL,Murcia,
231 Mozambique,TOTAL,Navarra,
231 Mozambique,TOTAL,País Vasco,11
231 Mozambique,TOTAL,Rioja,
231 Mozambique,TOTAL,Ciudad autónoma de Ceuta,..
231 Mozambique,TOTAL,Ciudad autónoma de Melilla,..
232 Namibia,TOTAL,,189
232 Namibia,TOTAL,Andalucía,12
232 Namibia,TOTAL,Aragón,1
232 Namibia,TOTAL,Asturias,
232 Namibia,TOTAL,Balears,
232 Namibia,TOTAL,Canarias,2
232 Namibia,TOTAL,Cantabria,2
232 Namibia,TOTAL,Castilla y León,4
232 Namibia,TOTAL,Castilla-La Mancha,3
232 Namibia,TOTAL,Cataluña,1
232 Namibia,TOTAL,Comunitat Valenciana,3
232 Namibia,TOTAL,Extremadura,2
232 Namibia,TOTAL,Galicia,140
232 Namibia,TOTAL,Madrid,
232 Namibia,TOTAL,Murcia,
232 Namibia,TOTAL,Navarra,
232 Namibia,TOTAL,País Vasco,2
232 Namibia,TOTAL,Rioja,
232 Namibia,TOTAL,Ciudad autónoma de Ceuta,..
232 Namibia,TOTAL,Ciudad autónoma de Melilla,..
233 Níger,TOTAL,,45
233 Níger,TOTAL,Andalucía,8
233 Níger,TOTAL,Aragón,2
233 Níger,TOTAL,Asturias,
233 Níger,TOTAL,Balears,
233 Níger,TOTAL,Canarias,..
233 Níger,TOTAL,Cantabria,1
233 Níger,TOTAL,Castilla y León,2
233 Níger,TOTAL,Castilla-La Mancha,..
233 Níger,TOTAL,Cataluña,3
233 Níger,TOTAL,Comunitat Valenciana,3
233 Níger,TOTAL,Extremadura,..
233 Níger,TOTAL,Galicia,4
233 Níger,TOTAL,Madrid,
233 Níger,TOTAL,Murcia,
233 Níger,TOTAL,Navarra,
233 Níger,TOTAL,País Vasco,1
233 Níger,TOTAL,Rioja,
233 Níger,TOTAL,Ciudad autónoma de Ceuta,..
233 Níger,TOTAL,Ciudad autónoma de Melilla,..
234 Nigeria,TOTAL,,159
234 Nigeria,TOTAL,Andalucía,17
234 Nigeria,TOTAL,Aragón,2
234 Nigeria,TOTAL,Asturias,
234 Nigeria,TOTAL,Balears,
234 Nigeria,TOTAL,Canarias,18
234 Nigeria,TOTAL,Cantabria,3
234 Nigeria,TOTAL,Castilla y León,14
234 Nigeria,TOTAL,Castilla-La Mancha,3
234 Nigeria,TOTAL,Cataluña,22
234 Nigeria,TOTAL,Comunitat Valenciana,9
234 Nigeria,TOTAL,Extremadura,..
234 Nigeria,TOTAL,Galicia,5
234 Nigeria,TOTAL,Madrid,
234 Nigeria,TOTAL,Murcia,
234 Nigeria,TOTAL,Navarra,
234 Nigeria,TOTAL,País Vasco,11
234 Nigeria,TOTAL,Rioja,
234 Nigeria,TOTAL,Ciudad autónoma de Ceuta,..
234 Nigeria,TOTAL,Ciudad autónoma de Melilla,..
250 Rep.Democrática Del Congo,TOTAL,,128
250 Rep.Democrática Del Congo,TOTAL,Andalucía,18
250 Rep.Democrática Del Congo,TOTAL,Aragón,3
250 Rep.Democrática Del Congo,TOTAL,Asturias,
250 Rep.Democrática Del Congo,TOTAL,Balears,
250 Rep.Democrática Del Congo,TOTAL,Canarias,5
250 Rep.Democrática Del Congo,TOTAL,Cantabria,1
250 Rep.Democrática Del Congo,TOTAL,Castilla y León,12
250 Rep.Democrática Del Congo,TOTAL,Castilla-La Mancha,6
250 Rep.Democrática Del Congo,TOTAL,Cataluña,15
250 Rep.Democrática Del Congo,TOTAL,Comunitat Valenciana,9
250 Rep.Democrática Del Congo,TOTAL,Extremadura,1
250 Rep.Democrática Del Congo,TOTAL,Galicia,5
250 Rep.Democrática Del Congo,TOTAL,Madrid,
250 Rep.Democrática Del Congo,TOTAL,Murcia,
250 Rep.Democrática Del Congo,TOTAL,Navarra,
250 Rep.Democrática Del Congo,TOTAL,País Vasco,11
250 Rep.Democrática Del Congo,TOTAL,Rioja,
250 Rep.Democrática Del Congo,TOTAL,Ciudad autónoma de Ceuta,..
250 Rep.Democrática Del Congo,TOTAL,Ciudad autónoma de Melilla,..
235 República Centroafricana,TOTAL,,16
235 República Centroafricana,TOTAL,Andalucía,3
235 República Centroafricana,TOTAL,Aragón,1
235 República Centroafricana,TOTAL,Asturias,
235 República Centroafricana,TOTAL,Balears,
235 República Centroafricana,TOTAL,Canarias,..
235 República Centroafricana,TOTAL,Cantabria,..
235 República Centroafricana,TOTAL,Castilla y León,3
235 República Centroafricana,TOTAL,Castilla-La Mancha,..
235 República Centroafricana,TOTAL,Cataluña,..
235 República Centroafricana,TOTAL,Comunitat Valenciana,3
235 República Centroafricana,TOTAL,Extremadura,..
235 República Centroafricana,TOTAL,Galicia,..
235 República Centroafricana,TOTAL,Madrid,
235 República Centroafricana,TOTAL,Murcia,
235 República Centroafricana,TOTAL,Navarra,
235 República Centroafricana,TOTAL,País Vasco,2
235 República Centroafricana,TOTAL,Rioja,
235 República Centroafricana,TOTAL,Ciudad autónoma de Ceuta,..
235 República Centroafricana,TOTAL,Ciudad autónoma de Melilla,..
237 Ruanda,TOTAL,,18
237 Ruanda,TOTAL,Andalucía,1
237 Ruanda,TOTAL,Aragón,..
237 Ruanda,TOTAL,Asturias,
237 Ruanda,TOTAL,Balears,
237 Ruanda,TOTAL,Canarias,..
237 Ruanda,TOTAL,Cantabria,..
237 Ruanda,TOTAL,Castilla y León,3
237 Ruanda,TOTAL,Castilla-La Mancha,..
237 Ruanda,TOTAL,Cataluña,3
237 Ruanda,TOTAL,Comunitat Valenciana,4
237 Ruanda,TOTAL,Extremadura,..
237 Ruanda,TOTAL,Galicia,1
237 Ruanda,TOTAL,Madrid,
237 Ruanda,TOTAL,Murcia,
237 Ruanda,TOTAL,Navarra,
237 Ruanda,TOTAL,País Vasco,..
237 Ruanda,TOTAL,Rioja,
237 Ruanda,TOTAL,Ciudad autónoma de Ceuta,..
237 Ruanda,TOTAL,Ciudad autónoma de Melilla,..
238 Santo Tomé y Príncipe,TOTAL,,4
238 Santo Tomé y Príncipe,TOTAL,Andalucía,..
238 Santo Tomé y Príncipe,TOTAL,Aragón,..
238 Santo Tomé y Príncipe,TOTAL,Asturias,
238 Santo Tomé y Príncipe,TOTAL,Balears,
238 Santo Tomé y Príncipe,TOTAL,Canarias,..
238 Santo Tomé y Príncipe,TOTAL,Cantabria,..
238 Santo Tomé y Príncipe,TOTAL,Castilla y León,..
238 Santo Tomé y Príncipe,TOTAL,Castilla-La Mancha,..
238 Santo Tomé y Príncipe,TOTAL,Cataluña,..
238 Santo Tomé y Príncipe,TOTAL,Comunitat Valenciana,..
238 Santo Tomé y Príncipe,TOTAL,Extremadura,1
238 Santo Tomé y Príncipe,TOTAL,Galicia,..
238 Santo Tomé y Príncipe,TOTAL,Madrid,
238 Santo Tomé y Príncipe,TOTAL,Murcia,
238 Santo Tomé y Príncipe,TOTAL,Navarra,
238 Santo Tomé y Príncipe,TOTAL,País Vasco,1
238 Santo Tomé y Príncipe,TOTAL,Rioja,
238 Santo Tomé y Príncipe,TOTAL,Ciudad autónoma de Ceuta,..
238 Santo Tomé y Príncipe,TOTAL,Ciudad autónoma de Melilla,..
239 Senegal,TOTAL,,459
239 Senegal,TOTAL,Andalucía,42
239 Senegal,TOTAL,Aragón,17
239 Senegal,TOTAL,Asturias,
239 Senegal,TOTAL,Balears,
239 Senegal,TOTAL,Canarias,64
239 Senegal,TOTAL,Cantabria,3
239 Senegal,TOTAL,Castilla y León,15
239 Senegal,TOTAL,Castilla-La Mancha,4
239 Senegal,TOTAL,Cataluña,104
239 Senegal,TOTAL,Comunitat Valenciana,16
239 Senegal,TOTAL,Extremadura,6
239 Senegal,TOTAL,Galicia,28
239 Senegal,TOTAL,Madrid,
239 Senegal,TOTAL,Murcia,
239 Senegal,TOTAL,Navarra,
239 Senegal,TOTAL,País Vasco,21
239 Senegal,TOTAL,Rioja,
239 Senegal,TOTAL,Ciudad autónoma de Ceuta,..
239 Senegal,TOTAL,Ciudad autónoma de Melilla,..
240 Seychelles,TOTAL,,7
240 Seychelles,TOTAL,Andalucía,..
240 Seychelles,TOTAL,Aragón,..
240 Seychelles,TOTAL,Asturias,
240 Seychelles,TOTAL,Balears,
240 Seychelles,TOTAL,Canarias,..
240 Seychelles,TOTAL,Cantabria,..
240 Seychelles,TOTAL,Castilla y León,..
240 Seychelles,TOTAL,Castilla-La Mancha,..
240 Seychelles,TOTAL,Cataluña,2
240 Seychelles,TOTAL,Comunitat Valenciana,1
240 Seychelles,TOTAL,Extremadura,..
240 Seychelles,TOTAL,Galicia,1
240 Seychelles,TOTAL,Madrid,
240 Seychelles,TOTAL,Murcia,
240 Seychelles,TOTAL,Navarra,
240 Seychelles,TOTAL,País Vasco,2
240 Seychelles,TOTAL,Rioja,
240 Seychelles,TOTAL,Ciudad autónoma de Ceuta,..
240 Seychelles,TOTAL,Ciudad autónoma de Melilla,..
241 Sierra Leona,TOTAL,,12
241 Sierra Leona,TOTAL,Andalucía,1
241 Sierra Leona,TOTAL,Aragón,..
241 Sierra Leona,TOTAL,Asturias,
241 Sierra Leona,TOTAL,Balears,
241 Sierra Leona,TOTAL,Canarias,..
241 Sierra Leona,TOTAL,Cantabria,1
241 Sierra Leona,TOTAL,Castilla y León,..
241 Sierra Leona,TOTAL,Castilla-La Mancha,1
241 Sierra Leona,TOTAL,Cataluña,4
241 Sierra Leona,TOTAL,Comunitat Valenciana,..
241 Sierra Leona,TOTAL,Extremadura,1
241 Sierra Leona,TOTAL,Galicia,1
241 Sierra Leona,TOTAL,Madrid,
241 Sierra Leona,TOTAL,Murcia,
241 Sierra Leona,TOTAL,Navarra,
241 Sierra Leona,TOTAL,País Vasco,..
241 Sierra Leona,TOTAL,Rioja,
241 Sierra Leona,TOTAL,Ciudad autónoma de Ceuta,..
241 Sierra Leona,TOTAL,Ciudad autónoma de Melilla,..
242 Somalia,TOTAL,,3
242 Somalia,TOTAL,Andalucía,..
242 Somalia,TOTAL,Aragón,..
242 Somalia,TOTAL,Asturias,
242 Somalia,TOTAL,Balears,
242 Somalia,TOTAL,Canarias,..
242 Somalia,TOTAL,Cantabria,..
242 Somalia,TOTAL,Castilla y León,..
242 Somalia,TOTAL,Castilla-La Mancha,..
242 Somalia,TOTAL,Cataluña,1
242 Somalia,TOTAL,Comunitat Valenciana,..
242 Somalia,TOTAL,Extremadura,..
242 Somalia,TOTAL,Galicia,..
242 Somalia,TOTAL,Madrid,
242 Somalia,TOTAL,Murcia,
242 Somalia,TOTAL,Navarra,
242 Somalia,TOTAL,País Vasco,..
242 Somalia,TOTAL,Rioja,
242 Somalia,TOTAL,Ciudad autónoma de Ceuta,..
242 Somalia,TOTAL,Ciudad autónoma de Melilla,..
236 Sudáfrica,TOTAL,,1.424
236 Sudáfrica,TOTAL,Andalucía,187
236 Sudáfrica,TOTAL,Aragón,30
236 Sudáfrica,TOTAL,Asturias,
236 Sudáfrica,TOTAL,Balears,
236 Sudáfrica,TOTAL,Canarias,28
236 Sudáfrica,TOTAL,Cantabria,16
236 Sudáfrica,TOTAL,Castilla y León,78
236 Sudáfrica,TOTAL,Castilla-La Mancha,18
236 Sudáfrica,TOTAL,Cataluña,190
236 Sudáfrica,TOTAL,Comunitat Valenciana,89
236 Sudáfrica,TOTAL,Extremadura,18
236 Sudáfrica,TOTAL,Galicia,165
236 Sudáfrica,TOTAL,Madrid,
236 Sudáfrica,TOTAL,Murcia,
236 Sudáfrica,TOTAL,Navarra,
236 Sudáfrica,TOTAL,País Vasco,49
236 Sudáfrica,TOTAL,Rioja,
236 Sudáfrica,TOTAL,Ciudad autónoma de Ceuta,..
236 Sudáfrica,TOTAL,Ciudad autónoma de Melilla,8
243 Sudán,TOTAL,,33
243 Sudán,TOTAL,Andalucía,8
243 Sudán,TOTAL,Aragón,1
243 Sudán,TOTAL,Asturias,
243 Sudán,TOTAL,Balears,
243 Sudán,TOTAL,Canarias,..
243 Sudán,TOTAL,Cantabria,..
243 Sudán,TOTAL,Castilla y León,1
243 Sudán,TOTAL,Castilla-La Mancha,1
243 Sudán,TOTAL,Cataluña,5
243 Sudán,TOTAL,Comunitat Valenciana,2
243 Sudán,TOTAL,Extremadura,..
243 Sudán,TOTAL,Galicia,3
243 Sudán,TOTAL,Madrid,
243 Sudán,TOTAL,Murcia,
243 Sudán,TOTAL,Navarra,
243 Sudán,TOTAL,País Vasco,..
243 Sudán,TOTAL,Rioja,
243 Sudán,TOTAL,Ciudad autónoma de Ceuta,..
243 Sudán,TOTAL,Ciudad autónoma de Melilla,..
254 Sudán Del Sur,TOTAL,,1
254 Sudán Del Sur,TOTAL,Andalucía,..
254 Sudán Del Sur,TOTAL,Aragón,..
254 Sudán Del Sur,TOTAL,Asturias,
254 Sudán Del Sur,TOTAL,Balears,
254 Sudán Del Sur,TOTAL,Canarias,..
254 Sudán Del Sur,TOTAL,Cantabria,..
254 Sudán Del Sur,TOTAL,Castilla y León,..
254 Sudán Del Sur,TOTAL,Castilla-La Mancha,..
254 Sudán Del Sur,TOTAL,Cataluña,..
254 Sudán Del Sur,TOTAL,Comunitat Valenciana,..
254 Sudán Del Sur,TOTAL,Extremadura,..
254 Sudán Del Sur,TOTAL,Galicia,..
254 Sudán Del Sur,TOTAL,Madrid,
254 Sudán Del Sur,TOTAL,Murcia,
254 Sudán Del Sur,TOTAL,Navarra,
254 Sudán Del Sur,TOTAL,País Vasco,..
254 Sudán Del Sur,TOTAL,Rioja,
254 Sudán Del Sur,TOTAL,Ciudad autónoma de Ceuta,..
254 Sudán Del Sur,TOTAL,Ciudad autónoma de Melilla,..
244 Swazilandia,TOTAL,,1
244 Swazilandia,TOTAL,Andalucía,..
244 Swazilandia,TOTAL,Aragón,..
244 Swazilandia,TOTAL,Asturias,
244 Swazilandia,TOTAL,Balears,
244 Swazilandia,TOTAL,Canarias,..
244 Swazilandia,TOTAL,Cantabria,..
244 Swazilandia,TOTAL,Castilla y León,1
244 Swazilandia,TOTAL,Castilla-La Mancha,..
244 Swazilandia,TOTAL,Cataluña,..
244 Swazilandia,TOTAL,Comunitat Valenciana,..
244 Swazilandia,TOTAL,Extremadura,..
244 Swazilandia,TOTAL,Galicia,..
244 Swazilandia,TOTAL,Madrid,
244 Swazilandia,TOTAL,Murcia,
244 Swazilandia,TOTAL,Navarra,
244 Swazilandia,TOTAL,País Vasco,..
244 Swazilandia,TOTAL,Rioja,
244 Swazilandia,TOTAL,Ciudad autónoma de Ceuta,..
244 Swazilandia,TOTAL,Ciudad autónoma de Melilla,..
245 Tanzania,TOTAL,,70
245 Tanzania,TOTAL,Andalucía,11
245 Tanzania,TOTAL,Aragón,..
245 Tanzania,TOTAL,Asturias,
245 Tanzania,TOTAL,Balears,
245 Tanzania,TOTAL,Canarias,1
245 Tanzania,TOTAL,Cantabria,3
245 Tanzania,TOTAL,Castilla y León,2
245 Tanzania,TOTAL,Castilla-La Mancha,3
245 Tanzania,TOTAL,Cataluña,13
245 Tanzania,TOTAL,Comunitat Valenciana,4
245 Tanzania,TOTAL,Extremadura,..
245 Tanzania,TOTAL,Galicia,2
245 Tanzania,TOTAL,Madrid,
245 Tanzania,TOTAL,Murcia,
245 Tanzania,TOTAL,Navarra,
245 Tanzania,TOTAL,País Vasco,1
245 Tanzania,TOTAL,Rioja,
245 Tanzania,TOTAL,Ciudad autónoma de Ceuta,..
245 Tanzania,TOTAL,Ciudad autónoma de Melilla,..
247 Togo,TOTAL,,21
247 Togo,TOTAL,Andalucía,1
247 Togo,TOTAL,Aragón,2
247 Togo,TOTAL,Asturias,
247 Togo,TOTAL,Balears,
247 Togo,TOTAL,Canarias,..
247 Togo,TOTAL,Cantabria,1
247 Togo,TOTAL,Castilla y León,3
247 Togo,TOTAL,Castilla-La Mancha,..
247 Togo,TOTAL,Cataluña,3
247 Togo,TOTAL,Comunitat Valenciana,2
247 Togo,TOTAL,Extremadura,..
247 Togo,TOTAL,Galicia,1
247 Togo,TOTAL,Madrid,
247 Togo,TOTAL,Murcia,
247 Togo,TOTAL,Navarra,
247 Togo,TOTAL,País Vasco,..
247 Togo,TOTAL,Rioja,
247 Togo,TOTAL,Ciudad autónoma de Ceuta,..
247 Togo,TOTAL,Ciudad autónoma de Melilla,..
248 Túnez,TOTAL,,370
248 Túnez,TOTAL,Andalucía,33
248 Túnez,TOTAL,Aragón,22
248 Túnez,TOTAL,Asturias,
248 Túnez,TOTAL,Balears,
248 Túnez,TOTAL,Canarias,4
248 Túnez,TOTAL,Cantabria,6
248 Túnez,TOTAL,Castilla y León,21
248 Túnez,TOTAL,Castilla-La Mancha,4
248 Túnez,TOTAL,Cataluña,71
248 Túnez,TOTAL,Comunitat Valenciana,25
248 Túnez,TOTAL,Extremadura,3
