País de residencia,Total Nacional,Comunidades y Ciudades Autónomas,Total
146 Croacia,TOTAL,Castilla y León,3
146 Croacia,TOTAL,Castilla-La Mancha,4
146 Croacia,TOTAL,Cataluña,27
146 Croacia,TOTAL,Comunitat Valenciana,12
146 Croacia,TOTAL,Extremadura,5
146 Croacia,TOTAL,Galicia,11
146 Croacia,TOTAL,Madrid,
146 Croacia,TOTAL,Murcia,
146 Croacia,TOTAL,Navarra,
146 Croacia,TOTAL,País Vasco,7
146 Croacia,TOTAL,Rioja,
146 Croacia,TOTAL,Ciudad autónoma de Ceuta,..
146 Croacia,TOTAL,Ciudad autónoma de Melilla,..
107 Dinamarca,TOTAL,,3.94
107 Dinamarca,TOTAL,Andalucía,594
107 Dinamarca,TOTAL,Aragón,88
107 Dinamarca,TOTAL,Asturias,
107 Dinamarca,TOTAL,Balears,
107 Dinamarca,TOTAL,Canarias,224
107 Dinamarca,TOTAL,Cantabria,38
107 Dinamarca,TOTAL,Castilla y León,172
107 Dinamarca,TOTAL,Castilla-La Mancha,87
107 Dinamarca,TOTAL,Cataluña,870
107 Dinamarca,TOTAL,Comunitat Valenciana,308
107 Dinamarca,TOTAL,Extremadura,43
107 Dinamarca,TOTAL,Galicia,216
107 Dinamarca,TOTAL,Madrid,
107 Dinamarca,TOTAL,Murcia,
107 Dinamarca,TOTAL,Navarra,
107 Dinamarca,TOTAL,País Vasco,148
107 Dinamarca,TOTAL,Rioja,
107 Dinamarca,TOTAL,Ciudad autónoma de Ceuta,5
107 Dinamarca,TOTAL,Ciudad autónoma de Melilla,7
147 Eslovenia,TOTAL,,106
147 Eslovenia,TOTAL,Andalucía,12
147 Eslovenia,TOTAL,Aragón,3
147 Eslovenia,TOTAL,Asturias,
147 Eslovenia,TOTAL,Balears,
147 Eslovenia,TOTAL,Canarias,4
147 Eslovenia,TOTAL,Cantabria,..
147 Eslovenia,TOTAL,Castilla y León,2
147 Eslovenia,TOTAL,Castilla-La Mancha,2
147 Eslovenia,TOTAL,Cataluña,20
147 Eslovenia,TOTAL,Comunitat Valenciana,9
147 Eslovenia,TOTAL,Extremadura,1
147 Eslovenia,TOTAL,Galicia,15
147 Eslovenia,TOTAL,Madrid,
147 Eslovenia,TOTAL,Murcia,
147 Eslovenia,TOTAL,Navarra,
147 Eslovenia,TOTAL,País Vasco,7
147 Eslovenia,TOTAL,Rioja,
147 Eslovenia,TOTAL,Ciudad autónoma de Ceuta,..
147 Eslovenia,TOTAL,Ciudad autónoma de Melilla,..
141 Estonia,TOTAL,,167
141 Estonia,TOTAL,Andalucía,41
141 Estonia,TOTAL,Aragón,2
141 Estonia,TOTAL,Asturias,
141 Estonia,TOTAL,Balears,
141 Estonia,TOTAL,Canarias,4
141 Estonia,TOTAL,Cantabria,..
141 Estonia,TOTAL,Castilla y León,13
141 Estonia,TOTAL,Castilla-La Mancha,4
141 Estonia,TOTAL,Cataluña,29
141 Estonia,TOTAL,Comunitat Valenciana,16
141 Estonia,TOTAL,Extremadura,1
141 Estonia,TOTAL,Galicia,6
141 Estonia,TOTAL,Madrid,
141 Estonia,TOTAL,Murcia,
141 Estonia,TOTAL,Navarra,
141 Estonia,TOTAL,País Vasco,3
141 Estonia,TOTAL,Rioja,
141 Estonia,TOTAL,Ciudad autónoma de Ceuta,..
141 Estonia,TOTAL,Ciudad autónoma de Melilla,..
109 Finlandia,TOTAL,,1.872
109 Finlandia,TOTAL,Andalucía,298
109 Finlandia,TOTAL,Aragón,56
109 Finlandia,TOTAL,Asturias,
109 Finlandia,TOTAL,Balears,
109 Finlandia,TOTAL,Canarias,178
109 Finlandia,TOTAL,Cantabria,12
109 Finlandia,TOTAL,Castilla y León,68
109 Finlandia,TOTAL,Castilla-La Mancha,47
109 Finlandia,TOTAL,Cataluña,331
109 Finlandia,TOTAL,Comunitat Valenciana,171
109 Finlandia,TOTAL,Extremadura,15
109 Finlandia,TOTAL,Galicia,90
109 Finlandia,TOTAL,Madrid,
109 Finlandia,TOTAL,Murcia,
109 Finlandia,TOTAL,Navarra,
109 Finlandia,TOTAL,País Vasco,77
109 Finlandia,TOTAL,Rioja,
109 Finlandia,TOTAL,Ciudad autónoma de Ceuta,..
109 Finlandia,TOTAL,Ciudad autónoma de Melilla,..
110 Francia,TOTAL,,218.237
110 Francia,TOTAL,Andalucía,37.416
110 Francia,TOTAL,Aragón,7.802
110 Francia,TOTAL,Asturias,
110 Francia,TOTAL,Balears,
110 Francia,TOTAL,Canarias,1.525
110 Francia,TOTAL,Cantabria,2.828
110 Francia,TOTAL,Castilla y León,22.773
110 Francia,TOTAL,Castilla-La Mancha,8.17
110 Francia,TOTAL,Cataluña,32.358
110 Francia,TOTAL,Comunitat Valenciana,24.624
110 Francia,TOTAL,Extremadura,7.671
110 Francia,TOTAL,Galicia,16.947
110 Francia,TOTAL,Madrid,
110 Francia,TOTAL,Murcia,
110 Francia,TOTAL,Navarra,
110 Francia,TOTAL,País Vasco,12.535
110 Francia,TOTAL,Rioja,
110 Francia,TOTAL,Ciudad autónoma de Ceuta,741
110 Francia,TOTAL,Ciudad autónoma de Melilla,909
139 Georgia,TOTAL,,34
139 Georgia,TOTAL,Andalucía,1
139 Georgia,TOTAL,Aragón,..
139 Georgia,TOTAL,Asturias,
139 Georgia,TOTAL,Balears,
139 Georgia,TOTAL,Canarias,..
139 Georgia,TOTAL,Cantabria,..
139 Georgia,TOTAL,Castilla y León,2
139 Georgia,TOTAL,Castilla-La Mancha,..
139 Georgia,TOTAL,Cataluña,6
139 Georgia,TOTAL,Comunitat Valenciana,2
139 Georgia,TOTAL,Extremadura,..
139 Georgia,TOTAL,Galicia,1
139 Georgia,TOTAL,Madrid,
139 Georgia,TOTAL,Murcia,
139 Georgia,TOTAL,Navarra,
139 Georgia,TOTAL,País Vasco,3
139 Georgia,TOTAL,Rioja,
139 Georgia,TOTAL,Ciudad autónoma de Ceuta,..
139 Georgia,TOTAL,Ciudad autónoma de Melilla,..
111 Grecia,TOTAL,,1.179
111 Grecia,TOTAL,Andalucía,202
111 Grecia,TOTAL,Aragón,44
111 Grecia,TOTAL,Asturias,
111 Grecia,TOTAL,Balears,
111 Grecia,TOTAL,Canarias,37
111 Grecia,TOTAL,Cantabria,23
111 Grecia,TOTAL,Castilla y León,76
111 Grecia,TOTAL,Castilla-La Mancha,80
111 Grecia,TOTAL,Cataluña,143
111 Grecia,TOTAL,Comunitat Valenciana,66
111 Grecia,TOTAL,Extremadura,19
111 Grecia,TOTAL,Galicia,52
111 Grecia,TOTAL,Madrid,
111 Grecia,TOTAL,Murcia,
111 Grecia,TOTAL,Navarra,
111 Grecia,TOTAL,País Vasco,81
111 Grecia,TOTAL,Rioja,
111 Grecia,TOTAL,Ciudad autónoma de Ceuta,3
111 Grecia,TOTAL,Ciudad autónoma de Melilla,..
112 Hungría,TOTAL,,472
112 Hungría,TOTAL,Andalucía,70
112 Hungría,TOTAL,Aragón,14
112 Hungría,TOTAL,Asturias,
112 Hungría,TOTAL,Balears,
112 Hungría,TOTAL,Canarias,25
112 Hungría,TOTAL,Cantabria,7
112 Hungría,TOTAL,Castilla y León,33
112 Hungría,TOTAL,Castilla-La Mancha,12
112 Hungría,TOTAL,Cataluña,82
112 Hungría,TOTAL,Comunitat Valenciana,51
112 Hungría,TOTAL,Extremadura,7
112 Hungría,TOTAL,Galicia,35
112 Hungría,TOTAL,Madrid,
112 Hungría,TOTAL,Murcia,
112 Hungría,TOTAL,Navarra,
112 Hungría,TOTAL,País Vasco,16
112 Hungría,TOTAL,Rioja,
112 Hungría,TOTAL,Ciudad autónoma de Ceuta,..
112 Hungría,TOTAL,Ciudad autónoma de Melilla,..
113 Irlanda,TOTAL,,7.509
113 Irlanda,TOTAL,Andalucía,1.028
113 Irlanda,TOTAL,Aragón,162
113 Irlanda,TOTAL,Asturias,
113 Irlanda,TOTAL,Balears,
113 Irlanda,TOTAL,Canarias,285
113 Irlanda,TOTAL,Cantabria,116
113 Irlanda,TOTAL,Castilla y León,461
113 Irlanda,TOTAL,Castilla-La Mancha,195
113 Irlanda,TOTAL,Cataluña,1.084
113 Irlanda,TOTAL,Comunitat Valenciana,585
113 Irlanda,TOTAL,Extremadura,99
113 Irlanda,TOTAL,Galicia,674
113 Irlanda,TOTAL,Madrid,
113 Irlanda,TOTAL,Murcia,
113 Irlanda,TOTAL,Navarra,
113 Irlanda,TOTAL,País Vasco,465
113 Irlanda,TOTAL,Rioja,
113 Irlanda,TOTAL,Ciudad autónoma de Ceuta,4
113 Irlanda,TOTAL,Ciudad autónoma de Melilla,7
114 Islandia,TOTAL,,245
114 Islandia,TOTAL,Andalucía,63
114 Islandia,TOTAL,Aragón,6
114 Islandia,TOTAL,Asturias,
114 Islandia,TOTAL,Balears,
114 Islandia,TOTAL,Canarias,13
114 Islandia,TOTAL,Cantabria,5
114 Islandia,TOTAL,Castilla y León,9
114 Islandia,TOTAL,Castilla-La Mancha,4
114 Islandia,TOTAL,Cataluña,44
114 Islandia,TOTAL,Comunitat Valenciana,20
114 Islandia,TOTAL,Extremadura,3
114 Islandia,TOTAL,Galicia,19
114 Islandia,TOTAL,Madrid,
114 Islandia,TOTAL,Murcia,
114 Islandia,TOTAL,Navarra,
114 Islandia,TOTAL,País Vasco,11
114 Islandia,TOTAL,Rioja,
114 Islandia,TOTAL,Ciudad autónoma de Ceuta,..
114 Islandia,TOTAL,Ciudad autónoma de Melilla,1
115 Italia,TOTAL,,18.892
115 Italia,TOTAL,Andalucía,2.497
115 Italia,TOTAL,Aragón,444
115 Italia,TOTAL,Asturias,
115 Italia,TOTAL,Balears,
115 Italia,TOTAL,Canarias,572
115 Italia,TOTAL,Cantabria,228
115 Italia,TOTAL,Castilla y León,1.1
115 Italia,TOTAL,Castilla-La Mancha,440
115 Italia,TOTAL,Cataluña,4.079
115 Italia,TOTAL,Comunitat Valenciana,1.62
115 Italia,TOTAL,Extremadura,272
115 Italia,TOTAL,Galicia,1.208
115 Italia,TOTAL,Madrid,
115 Italia,TOTAL,Murcia,
115 Italia,TOTAL,Navarra,
115 Italia,TOTAL,País Vasco,862
115 Italia,TOTAL,Rioja,
115 Italia,TOTAL,Ciudad autónoma de Ceuta,9
115 Italia,TOTAL,Ciudad autónoma de Melilla,26
136 Letonia,TOTAL,,90
136 Letonia,TOTAL,Andalucía,9
136 Letonia,TOTAL,Aragón,3
136 Letonia,TOTAL,Asturias,
136 Letonia,TOTAL,Balears,
136 Letonia,TOTAL,Canarias,3
136 Letonia,TOTAL,Cantabria,1
136 Letonia,TOTAL,Castilla y León,5
136 Letonia,TOTAL,Castilla-La Mancha,1
136 Letonia,TOTAL,Cataluña,17
136 Letonia,TOTAL,Comunitat Valenciana,12
136 Letonia,TOTAL,Extremadura,..
136 Letonia,TOTAL,Galicia,3
136 Letonia,TOTAL,Madrid,
136 Letonia,TOTAL,Murcia,
136 Letonia,TOTAL,Navarra,
136 Letonia,TOTAL,País Vasco,6
136 Letonia,TOTAL,Rioja,
136 Letonia,TOTAL,Ciudad autónoma de Ceuta,..
136 Letonia,TOTAL,Ciudad autónoma de Melilla,..
116 Liechtenstein,TOTAL,,304
116 Liechtenstein,TOTAL,Andalucía,5
116 Liechtenstein,TOTAL,Aragón,1
116 Liechtenstein,TOTAL,Asturias,
116 Liechtenstein,TOTAL,Balears,
116 Liechtenstein,TOTAL,Canarias,1
116 Liechtenstein,TOTAL,Cantabria,2
116 Liechtenstein,TOTAL,Castilla y León,6
116 Liechtenstein,TOTAL,Castilla-La Mancha,2
116 Liechtenstein,TOTAL,Cataluña,5
116 Liechtenstein,TOTAL,Comunitat Valenciana,11
116 Liechtenstein,TOTAL,Extremadura,..
116 Liechtenstein,TOTAL,Galicia,255
116 Liechtenstein,TOTAL,Madrid,
116 Liechtenstein,TOTAL,Murcia,
116 Liechtenstein,TOTAL,Navarra,
116 Liechtenstein,TOTAL,País Vasco,2
116 Liechtenstein,TOTAL,Rioja,
116 Liechtenstein,TOTAL,Ciudad autónoma de Ceuta,..
116 Liechtenstein,TOTAL,Ciudad autónoma de Melilla,..
142 Lituania,TOTAL,,129
142 Lituania,TOTAL,Andalucía,20
142 Lituania,TOTAL,Aragón,4
142 Lituania,TOTAL,Asturias,
142 Lituania,TOTAL,Balears,
142 Lituania,TOTAL,Canarias,4
142 Lituania,TOTAL,Cantabria,4
142 Lituania,TOTAL,Castilla y León,8
142 Lituania,TOTAL,Castilla-La Mancha,1
142 Lituania,TOTAL,Cataluña,20
142 Lituania,TOTAL,Comunitat Valenciana,10
142 Lituania,TOTAL,Extremadura,2
142 Lituania,TOTAL,Galicia,10
142 Lituania,TOTAL,Madrid,
142 Lituania,TOTAL,Murcia,
142 Lituania,TOTAL,Navarra,
142 Lituania,TOTAL,País Vasco,7
142 Lituania,TOTAL,Rioja,
142 Lituania,TOTAL,Ciudad autónoma de Ceuta,..
142 Lituania,TOTAL,Ciudad autónoma de Melilla,1
117 Luxemburgo,TOTAL,,4.554
117 Luxemburgo,TOTAL,Andalucía,742
117 Luxemburgo,TOTAL,Aragón,99
117 Luxemburgo,TOTAL,Asturias,
117 Luxemburgo,TOTAL,Balears,
117 Luxemburgo,TOTAL,Canarias,63
117 Luxemburgo,TOTAL,Cantabria,44
117 Luxemburgo,TOTAL,Castilla y León,296
117 Luxemburgo,TOTAL,Castilla-La Mancha,136
117 Luxemburgo,TOTAL,Cataluña,517
117 Luxemburgo,TOTAL,Comunitat Valenciana,294
117 Luxemburgo,TOTAL,Extremadura,68
117 Luxemburgo,TOTAL,Galicia,526
117 Luxemburgo,TOTAL,Madrid,
117 Luxemburgo,TOTAL,Murcia,
117 Luxemburgo,TOTAL,Navarra,
117 Luxemburgo,TOTAL,País Vasco,161
117 Luxemburgo,TOTAL,Rioja,
117 Luxemburgo,TOTAL,Ciudad autónoma de Ceuta,11
117 Luxemburgo,TOTAL,Ciudad autónoma de Melilla,1
156 Macedonia,TOTAL,,16
156 Macedonia,TOTAL,Andalucía,2
156 Macedonia,TOTAL,Aragón,1
156 Macedonia,TOTAL,Asturias,
156 Macedonia,TOTAL,Balears,
156 Macedonia,TOTAL,Canarias,..
156 Macedonia,TOTAL,Cantabria,..
156 Macedonia,TOTAL,Castilla y León,..
156 Macedonia,TOTAL,Castilla-La Mancha,1
156 Macedonia,TOTAL,Cataluña,3
156 Macedonia,TOTAL,Comunitat Valenciana,2
156 Macedonia,TOTAL,Extremadura,..
156 Macedonia,TOTAL,Galicia,..
156 Macedonia,TOTAL,Madrid,
156 Macedonia,TOTAL,Murcia,
156 Macedonia,TOTAL,Navarra,
